Unnamed: 0,House Number,City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society,property Type
32,52021422,Rawalpindi,3.0,5.0,7.0,1.0,2.0,1.0,4.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,15614.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
34,50284140,Rawalpindi,2.0,2.0,2.0,0.0,1.0,0.0,2.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1361.0,16532.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
35,51279544,Rawalpindi,,6.0,6.0,0.0,2.0,0.0,3.25, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,11940.0,Gulshan Abad,Punjab,Gulshan Abad,Houses
36,49318909,Rawalpindi,,8.0,10.0,2.0,2.0,1.0,5.25, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Undefined,5445.0,9642.0,Gulshan Abad,Punjab,Gulshan Abad,Houses
37,50209078,Rawalpindi,1.0,4.0,4.0,1.0,2.0,1.0,2.1, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1634.0,12852.0,Airport Housing Society,Punjab,Airport Housing Society,Houses
38,51302721,Rawalpindi,3.0,5.0,6.0,1.0,2.0,1.0,2.5, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,2178.0,11478.0,Airport Housing Society,Punjab,Airport Housing Society,Houses
39,51301674,Rawalpindi,1.0,4.0,6.0,1.0,2.0,1.0,1.7, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1361.0,12491.0,Airport Housing Society,Punjab,Airport Housing Society,Houses
40,51302811,Rawalpindi,2.0,6.0,6.0,1.0,2.0,1.0,3.85, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,2178.0,17677.0,Airport Housing Society,Punjab,Airport Housing Society,Houses
41,51508937,Rawalpindi,3.0,8.0,8.0,1.0,3.0,1.0,9.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,16529.0,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi,Houses
42,43845099,Rawalpindi,,5.0,6.0,1.0,1.0,1.0,12.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,22039.0,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi,Houses
44,52110158,,,1.0,1.0,0.0,1.0,0.0,1.89, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1143.0,16535.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
45,52110157,,,1.0,1.0,0.0,1.0,0.0,1.92, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1116.0,17204.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
46,52110156,,,1.0,1.0,0.0,1.0,0.0,3.33, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2015.0,16526.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
47,52110141,,,1.0,1.0,0.0,1.0,0.0,1.89, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1143.0,16535.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
48,52110140,,,1.0,1.0,0.0,1.0,0.0,1.92, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1116.0,17204.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
49,52059126,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,2.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,13641.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
50,51426258,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,9.3, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,17080.0,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi,Houses
51,52052433,Rawalpindi,,0.0,0.0,0.0,0.0,0.0,11.45, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,5445.0,21028.0,Bahria Town Phase 1,Punjab,Bahria Town Rawalpindi,Houses
52,52082021,Rawalpindi,3.0,6.0,6.0,1.0,2.0,1.0,3.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,13777.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
54,51602358,Rawalpindi,,3.0,4.0,0.0,1.0,0.0,2.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1361.0,18369.0,Bahria Town Rawalpindi,Punjab,Bahria Town Rawalpindi,Houses
55,51777455,Rawalpindi,,3.0,4.0,1.0,1.0,1.0,1.65, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Moderately Old,1361.0,12123.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
56,51634543,Rawalpindi,2.0,3.0,3.0,1.0,1.0,1.0,1.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,12491.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
57,52045159,Rawalpindi,,4.0,5.0,1.0,2.0,0.0,1.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1361.0,12858.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
58,52001444,Rawalpindi,2.0,3.0,4.0,1.0,2.0,1.0,2.1, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,1361.0,15430.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
59,51279523,Rawalpindi,,6.0,6.0,0.0,2.0,2.0,3.4, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,12491.0,Gulshan Abad Sector 2,Punjab,Gulshan Abad,Houses
60,51295940,Rawalpindi,2.0,6.0,6.0,0.0,2.0,1.0,2.75, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,10103.0,Gulshan Abad Sector 1,Punjab,Gulshan Abad,Houses
61,51704923,Rawalpindi,1.0,4.0,4.0,1.0,2.0,1.0,0.75, For Sale,"Islamabad Highway, Rawalpindi, Punjab, ",Undefined,544.0,13787.0,Wakeel Colony,Punjab,Islamabad Highway,Houses
62,52037446,Rawalpindi,,3.0,4.0,0.0,0.0,0.0,0.98, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1089.0,8999.0,Snober City,Punjab,Adiala Road,Houses
63,52103294,Rawalpindi,3.0,3.0,3.0,2.0,2.0,1.0,0.95, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1089.0,8724.0,Snober City,Punjab,Adiala Road,Houses
64,52110139,,,1.0,1.0,0.0,1.0,0.0,3.33, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2015.0,16526.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
66,52110122,,,1.0,1.0,0.0,1.0,0.0,1.89, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1143.0,16535.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
67,52110120,,,1.0,1.0,0.0,1.0,0.0,1.92, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1116.0,17204.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
68,52110119,,,1.0,1.0,0.0,1.0,0.0,3.33, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2015.0,16526.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
70,52110101,,,1.0,1.0,0.0,1.0,0.0,1.89, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1143.0,16535.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
71,52110099,,,1.0,1.0,0.0,1.0,0.0,1.92, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1116.0,17204.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
72,52103070,Rawalpindi,3.0,5.0,6.0,1.0,2.0,1.0,10.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,5445.0,19284.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses
73,51682921,Rawalpindi,3.0,5.0,6.0,1.0,2.0,2.0,5.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,19287.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
75,51351115,Rawalpindi,,4.0,5.0,1.0,2.0,0.0,1.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,13960.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
76,52107528,Rawalpindi,1.0,4.0,4.0,1.0,1.0,0.0,1.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,1361.0,13960.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
77,52107625,Rawalpindi,1.0,3.0,4.0,0.0,2.0,0.0,10.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,18365.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
78,52107538,Rawalpindi,2.0,3.0,4.0,1.0,2.0,2.0,1.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,12491.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
79,52101100,Rawalpindi,,5.0,7.0,1.0,2.0,0.0,8.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,16437.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
80,51352466,Rawalpindi,,4.0,6.0,0.0,2.0,0.0,1.9, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Undefined,1361.0,13960.0,Airport Housing Society ,Punjab,Airport Housing Society,Houses
81,51614310,Rawalpindi,,5.0,5.0,0.0,2.0,0.0,2.7, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,9919.0,Gulshan Abad Sector 2,Punjab,Gulshan Abad,Houses
82,52091874,Rawalpindi,3.0,5.0,6.0,0.0,2.0,0.0,3.29, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,2722.0,12087.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
83,51875976,Rawalpindi,2.0,5.0,6.0,0.0,2.0,0.0,2.6, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,2178.0,11938.0,Snober City,Punjab,Adiala Road,Houses
84,51116208,Rawalpindi,1.0,4.0,4.0,1.0,2.0,1.0,1.25, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,9184.0,Snober City,Punjab,Adiala Road,Houses
85,51554173,Rawalpindi,3.0,2.0,2.0,2.0,1.0,1.0,1.05, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,7715.0,Snober City,Punjab,Adiala Road,Houses
86,51875275,Rawalpindi,1.0,3.0,3.0,1.0,1.0,1.0,1.2, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1089.0,11019.0,Snober City,Punjab,Adiala Road,Houses
87,52009345,Rawalpindi,2.0,3.0,3.0,0.0,0.0,0.0,1.4, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,10287.0,Snober City,Punjab,Adiala Road,Houses
88,52110098,,,1.0,1.0,0.0,1.0,0.0,3.33, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2015.0,16526.0,Bahria Paradise,Punjab,Bahria Town Rawalpindi,
89,51921711,Rawalpindi,2.0,5.0,6.0,1.0,2.0,0.0,3.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,2722.0,14511.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
90,49860339,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,5.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,20206.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
91,51016022,Rawalpindi,1.0,2.0,3.0,0.0,1.0,2.0,7.35, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,13499.0,Bahria Town Phase 6,Punjab,Bahria Town Rawalpindi,Houses
92,50932043,Rawalpindi,,1.0,3.0,0.0,1.0,0.0,11.9, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,21855.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
94,50274631,Rawalpindi,,9.0,10.0,1.0,3.0,1.0,7.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,5445.0,13774.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
95,51539057,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,3.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2968.0,10950.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
96,51979652,Rawalpindi,3.0,8.0,9.0,2.0,3.0,1.0,6.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,5445.0,11938.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
97,51979780,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,5.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4356.0,13200.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses
98,51989142,Rawalpindi,3.0,5.0,6.0,1.0,2.0,1.0,3.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,2722.0,13777.0,Bahria Town Phase 7,Punjab,Bahria Town Rawalpindi,Houses
99,51991047,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,4.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,15614.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses
100,51532223,Rawalpindi,2.0,4.0,5.0,1.0,2.0,1.0,1.9, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1361.0,13960.0,Airport Housing Society ,Punjab,Airport Housing Society,Houses
101,51615446,Rawalpindi,,5.0,6.0,1.0,0.0,0.0,2.35, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1906.0,12329.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
102,51996589,Rawalpindi,2.0,3.0,4.0,1.0,1.0,1.0,1.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,11756.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
103,52101279,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,3.4, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1906.0,17838.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
104,51162053,Rawalpindi,1.0,2.0,3.0,1.0,1.0,1.0,1.05, For Sale,"Islamabad Highway, Rawalpindi, Punjab, ",Undefined,1361.0,7715.0,Wakeel Colony,Punjab,Islamabad Highway,Houses
105,51987605,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,5.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,18920.0,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi,Houses
106,51978028,,,1.0,1.0,0.0,1.0,0.0,0.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,871.0,10907.0,Bahria Town ,Punjab,Bahria Town Rawalpindi,
107,51666735,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,3.65, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Old Property,2722.0,13409.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
108,51666161,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,4.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,4356.0,9183.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
109,51641865,Rawalpindi,,4.0,5.0,0.0,1.0,0.0,1.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1361.0,12491.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
110,50825035,Rawalpindi,,7.0,8.0,0.0,2.0,0.0,6.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4900.0,13469.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
111,50805018,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,4.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,3185.0,14129.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
112,51672453,Rawalpindi,1.0,5.0,6.0,1.0,2.0,1.0,3.85, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,2722.0,14144.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
113,51950125,,1.0,2.0,2.0,0.0,1.0,0.0,0.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1443.0,5544.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,
114,51077336,Rawalpindi,1.0,3.0,4.0,1.0,1.0,1.0,1.85, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,2178.0,8494.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
115,51615216,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,2.1, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Moderately Old,1906.0,11018.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
116,51615271,Rawalpindi,,5.0,6.0,1.0,1.0,0.0,2.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1906.0,11805.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
117,51611499,Rawalpindi,,5.0,6.0,1.0,2.0,0.0,2.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Undefined,1906.0,14166.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
118,52017842,Rawalpindi,1.0,8.0,10.0,1.0,3.0,1.0,2.45, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1906.0,12854.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
119,52034096,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,4.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,17450.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
120,52018174,Rawalpindi,1.0,8.0,10.0,1.0,3.0,1.0,2.45, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1906.0,12854.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
121,52002062,Rawalpindi,1.0,4.0,2.0,1.0,1.0,1.0,4.3, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Moderately Old,2722.0,15797.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses
122,52089115,Rawalpindi,,5.0,6.0,1.0,2.0,1.0,4.2, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,15430.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
123,52008587,Rawalpindi,,4.0,3.0,1.0,2.0,1.0,1.65, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,12123.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
124,52008853,Rawalpindi,,5.0,5.0,1.0,2.0,1.0,2.2, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,11542.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses
125,51551755,,1.0,3.0,3.0,1.0,1.0,1.0,2.45, For Sale,"Askari 14, Rawalpindi, Punjab, ",Undefined,2722.0,9001.0,Askari 14,Punjab,Askari 14,
126,52102284,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,4.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,2450.0,17347.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses
127,52098298,Rawalpindi,1.0,3.0,4.0,1.0,1.0,0.0,2.7, For Sale,Punjab Government Servant Housing Foundation,Relatively New,2722.0,9919.0,Punjab Government Servant Housing Foundation (PGSHF),Punjab,Punjab Government Servant Housing Foundation,Houses
128,48270210,Rawalpindi,,2.0,1.0,0.0,1.0,0.0,1.53, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined,1361.0,11242.0,Snober City,Punjab,Adiala Road,Houses
129,49705408,Rawalpindi,,5.0,5.0,0.0,2.0,0.0,1.05, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1089.0,9642.0,Snober City,Punjab,Adiala Road,Houses
130,47916151,Rawalpindi,,7.0,8.0,1.0,2.0,0.0,1.58, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined,1361.0,11609.0,Snober City,Punjab,Adiala Road,Houses
