City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,Age Possession,area,colony,province,property Type,price
2.0,3.0,4.0,5.0,0.0,1.0,0.0,3.0,2722.0,39.0,0.0,1.0,3.2
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,5445.0,36.0,0.0,1.0,9.3
2.0,3.0,5.0,6.0,6.0,2.0,1.0,3.0,5445.0,34.0,0.0,1.0,18.0
2.0,4.0,7.0,7.0,1.0,2.0,1.0,3.0,5445.0,22.0,0.0,1.0,10.4
2.0,2.0,5.0,6.0,1.0,2.0,1.0,5.0,2722.0,33.0,0.0,1.0,6.8
2.0,4.0,5.0,6.0,1.0,2.0,1.0,3.0,4356.0,22.0,0.0,1.0,5.8
2.0,3.0,5.0,6.0,1.0,2.0,1.0,5.0,2722.0,33.0,0.0,1.0,6.8
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,22.0,0.0,1.0,4.5
2.0,4.0,5.0,5.0,1.0,2.0,0.0,3.0,3539.0,22.0,0.0,1.0,5.6
2.0,3.0,6.0,6.0,1.0,1.0,1.0,3.0,5445.0,35.0,0.0,1.0,9.9
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,34.0,0.0,1.0,5.5
2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1361.0,40.0,0.0,1.0,1.15
2.0,4.0,5.0,6.0,3.0,2.0,1.0,3.0,1933.0,38.0,0.0,3.0,1.85
2.0,1.0,3.0,4.0,1.0,1.0,0.0,3.0,1361.0,39.0,0.0,1.0,2.0
2.0,2.0,5.0,7.0,1.0,2.0,1.0,3.0,2722.0,39.0,0.0,1.0,3.7
2.0,5.0,5.0,0.0,0.0,2.0,0.0,4.0,1906.0,40.0,0.0,1.0,2.7
2.0,3.0,5.0,5.0,1.0,2.0,2.0,5.0,4084.0,40.0,0.0,1.0,4.5
2.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1361.0,40.0,0.0,1.0,1.8
2.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1361.0,40.0,0.0,1.0,1.7
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,33.0,0.0,1.0,5.25
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,4900.0,40.0,0.0,1.0,5.25
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,2722.0,40.0,0.0,1.0,4.1
2.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,544.0,149.0,0.0,1.0,0.64
2.0,2.0,6.0,6.0,1.0,2.0,0.0,3.0,3294.0,149.0,0.0,1.0,5.5
2.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,1634.0,129.0,0.0,1.0,1.6
2.0,1.0,4.0,5.0,1.0,2.0,1.0,3.0,1361.0,4.0,0.0,1.0,1.85
2.0,1.0,5.0,6.0,1.0,2.0,1.0,3.0,2995.0,40.0,0.0,1.0,3.5
2.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1361.0,40.0,0.0,1.0,1.65
2.0,3.0,5.0,7.0,1.0,2.0,1.0,3.0,1906.0,39.0,0.0,1.0,2.2
2.0,1.0,5.0,7.0,1.0,2.0,1.0,3.0,1906.0,40.0,0.0,1.0,2.5
2.0,3.0,3.0,3.0,0.0,1.0,1.0,3.0,2722.0,38.0,0.0,1.0,4.0
2.0,3.0,6.0,6.0,1.0,2.0,1.0,3.0,4084.0,22.0,0.0,1.0,6.15
2.0,6.0,6.0,7.0,1.0,3.0,2.0,3.0,9801.0,40.0,0.0,1.0,18.0
2.0,4.0,5.0,6.0,1.0,3.0,1.0,5.0,5445.0,33.0,0.0,1.0,16.8
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,5445.0,22.0,0.0,1.0,9.0
2.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,5445.0,22.0,0.0,1.0,9.0
2.0,3.0,5.0,6.0,1.0,2.0,1.0,3.0,5445.0,22.0,0.0,1.0,10.4
2.0,3.0,5.0,5.0,1.0,2.0,2.0,3.0,2722.0,40.0,0.0,1.0,4.0
2.0,2.0,5.0,6.0,1.0,2.0,1.0,0.0,2722.0,34.0,0.0,1.0,3.75
2.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1361.0,4.0,0.0,1.0,1.85
2.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,3267.0,93.0,0.0,1.0,5.0
2.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,817.0,155.0,0.0,1.0,0.62
2.0,1.0,4.0,5.0,0.0,2.0,1.0,1.0,1089.0,122.0,0.0,1.0,1.4
2.0,2.0,5.0,5.0,1.0,2.0,0.0,3.0,1906.0,40.0,0.0,1.0,2.8
2.0,3.0,4.0,5.0,1.0,1.0,0.0,3.0,3539.0,40.0,0.0,1.0,4.3
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,2722.0,39.0,0.0,1.0,3.15
2.0,2.0,5.0,5.0,1.0,2.0,0.0,3.0,1906.0,40.0,0.0,1.0,2.8
2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1906.0,40.0,0.0,1.0,2.3
2.0,1.0,5.0,6.0,1.0,2.0,1.0,1.0,1906.0,40.0,0.0,1.0,2.4
2.0,1.0,5.0,6.0,1.0,2.0,1.0,1.0,1906.0,40.0,0.0,1.0,2.25
2.0,1.0,5.0,6.0,1.0,2.0,1.0,1.0,1906.0,40.0,0.0,1.0,2.2
2.0,2.0,3.0,5.0,1.0,2.0,0.0,3.0,2722.0,34.0,0.0,1.0,5.6
2.0,2.0,5.0,5.0,1.0,1.0,1.0,0.0,2722.0,15.0,0.0,1.0,3.5
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,3267.0,40.0,0.0,1.0,4.5
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,2722.0,22.0,0.0,1.0,5.6
2.0,3.0,5.0,5.0,1.0,2.0,0.0,3.0,2722.0,40.0,0.0,1.0,4.5
2.0,3.0,5.0,5.0,1.0,2.0,1.0,3.0,2722.0,22.0,0.0,1.0,5.9
2.0,4.0,7.0,7.0,1.0,2.0,1.0,3.0,5445.0,22.0,0.0,1.0,11.0
2.0,2.0,5.0,6.0,1.0,2.0,1.0,3.0,2722.0,37.0,0.0,1.0,4.9
