Unnamed: 0,House Number,City,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society,property Type,area_room_ratio
139,52072977,Rawalpindi,2.0,5.0,6.0,0.0,2.0,0.0,2.38, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,12487.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,381.2
140,52023250,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,3.4, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,12491.0,Bahria Town Phase 8,Punjab,Bahria Town Rawalpindi,Houses,544.4
141,51979314,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,3.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,13960.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,544.4
142,51880846,Rawalpindi,3.0,5.0,6.0,1.0,2.0,2.0,8.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,4628.0,19339.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,925.6
143,50261711,Rawalpindi,1.0,5.0,5.0,1.0,2.0,1.0,1.15, For Sale,"New Afzal Town, Rawalpindi, Punjab, ",Old Property,1361.0,8450.0,New Afzal Town,Punjab,New Afzal Town,Houses,272.2
144,52099591,Rawalpindi,3.0,5.0,6.0,1.0,2.0,1.0,5.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2995.0,18364.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,599.0
145,52027623,Rawalpindi,1.0,3.0,3.0,1.0,1.0,4.0,1.5, For Sale,"Airport Housing Society, Rawalpindi, Punjab, ",Relatively New,1361.0,11021.0,Airport Housing Society,Punjab,Airport Housing Society,Houses,453.6666666666667
147,47823535,Rawalpindi,3.0,7.0,6.0,1.0,2.0,1.0,1.1, For Sale,"Chakri Road, Rawalpindi, Punjab, ",Undefined,1361.0,8082.0,Chakri Road,Punjab,Chakri Road,Houses,194.42857142857142
154,51993975,Rawalpindi,1.0,4.0,4.0,1.0,2.0,1.0,1.36, For Sale,"Range Road, Rawalpindi, Punjab, ",Relatively New,1089.0,12489.0,Range Road,Punjab,Range Road,Houses,272.25
158,49904459,Rawalpindi,1.0,5.0,6.0,1.0,2.0,1.0,3.6, For Sale,"Gulraiz Housing Scheme, Rawalpindi, Punjab, ",Relatively New,4356.0,8264.0,Gulraiz Housing Society Phase 6,Punjab,Gulraiz Housing Scheme,Houses,871.2
159,51892821,Rawalpindi,3.0,5.0,6.0,1.0,2.0,1.0,4.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,17267.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,544.4
160,51914137,Rawalpindi,4.0,6.0,7.0,1.0,2.0,2.0,18.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,10890.0,16529.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,1815.0
161,51987240,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,6.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,3539.0,19638.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,707.8
163,51534142,Rawalpindi,4.0,5.0,6.0,1.0,2.0,1.0,10.75, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,19743.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses,1089.0
164,48756405,Rawalpindi,1.0,5.0,6.0,1.0,1.0,1.0,2.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,11280.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,381.2
169,48894977,Rawalpindi,2.0,4.0,6.0,2.0,2.0,2.0,2.6, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Undefined,2314.0,11236.0,Snober City,Punjab,Adiala Road,Houses,578.5
170,51989044,Rawalpindi,2.0,5.0,5.0,1.0,1.0,1.0,3.8, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,2722.0,13960.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses,544.4
171,52108899,Rawalpindi,3.0,6.0,6.0,1.0,2.0,0.0,7.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Moderately Old,5445.0,14601.0,Bahria Town Phase 4,Punjab,Bahria Town Rawalpindi,Houses,907.5
175,51597354,Rawalpindi,2.0,5.0,5.0,1.0,1.0,1.0,3.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Moderately Old,2722.0,13226.0,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi,Houses,544.4
176,51735835,Rawalpindi,2.0,2.0,2.0,1.0,1.0,1.0,1.05, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1361.0,7715.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,680.5
177,51485886,Rawalpindi,3.0,6.0,6.0,1.0,2.0,1.0,3.5, For Sale,"Gulraiz Housing Scheme, Rawalpindi, Punjab, ",Moderately Old,3267.0,10713.0,Gulraiz Housing Society Phase 3,Punjab,Gulraiz Housing Scheme,Houses,544.5
178,46673237,Rawalpindi,4.0,4.0,5.0,2.0,1.0,2.0,1.35, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1361.0,9919.0,Snober City,Punjab,Adiala Road,Houses,340.25
180,51978745,Rawalpindi,4.0,1.0,1.0,1.0,1.0,2.0,0.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,681.0,10279.0,Bahria Town ,Punjab,Bahria Town Rawalpindi,Flats,681.0
186,52014022,Rawalpindi,1.0,2.0,2.0,0.0,1.0,0.0,1.05, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",New Property,1361.0,7715.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,680.5
188,49727392,Rawalpindi,1.0,5.0,6.0,1.0,2.0,2.0,1.2, For Sale,"Defence Road, Rawalpindi, Punjab, ",Moderately Old,1361.0,8817.0,Defence Road,Punjab,Defence Road,Houses,272.2
193,48712365,Rawalpindi,2.0,6.0,5.0,1.0,3.0,1.0,2.35, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,2722.0,8633.0,Gulshan Abad,Punjab,Gulshan Abad,Houses,453.6666666666667
194,52108189,Rawalpindi,2.0,4.0,4.0,0.0,2.0,2.0,2.0, For Sale,"Aria Mohalla, Rawalpindi, Punjab, ",Moderately Old,1361.0,14695.0,Aria Mohalla,Punjab,Aria Mohalla,Houses,340.25
201,50639795,Rawalpindi,3.0,4.0,6.0,1.0,2.0,1.0,4.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,18185.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,680.5
202,52085681,Rawalpindi,4.0,8.0,6.0,1.0,3.0,1.0,3.2, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Moderately Old,2722.0,11756.0,Gulshan Abad,Punjab,Gulshan Abad,Houses,340.25
204,51638226,Rawalpindi,3.0,5.0,6.0,1.0,3.0,1.0,18.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,5445.0,33058.0,Bahria Town Phase 3,Punjab,Bahria Town Rawalpindi,Houses,1089.0
205,52020303,Rawalpindi,2.0,2.0,2.0,0.0,1.0,1.0,2.7, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,9919.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,1361.0
207,52103268,Rawalpindi,2.0,2.0,2.0,1.0,1.0,1.0,0.88, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Under Construction,817.0,10771.0,Snober City,Punjab,Adiala Road,Houses,408.5
209,52102270,Rawalpindi,1.0,1.0,1.0,1.0,1.0,1.0,6.4, For Sale,"Askari 14, Rawalpindi, Punjab, ",Undefined,3267.0,19590.0,Askari 14,Punjab,Askari 14,Houses,3267.0
210,52001735,Rawalpindi,3.0,5.0,5.0,1.0,2.0,1.0,4.5, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,16532.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,544.4
211,51995709,Rawalpindi,1.0,4.0,5.0,1.0,1.0,1.0,3.15, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,16527.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,476.5
215,50562043,Rawalpindi,4.0,4.0,5.0,1.0,1.0,1.0,5.75, For Sale,"Satellite Town, Rawalpindi, Punjab, ",New Property,1906.0,30168.0,Satellite Town ,Punjab,Satellite Town,Houses,476.5
223,52024829,Rawalpindi,4.0,5.0,7.0,1.0,3.0,2.0,15.0, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Under Construction,5445.0,27548.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,1089.0
224,51891480,Rawalpindi,1.0,5.0,5.0,1.0,1.0,1.0,3.85, For Sale,"Gulshan Abad, Rawalpindi, Punjab, ",Relatively New,5445.0,7071.0,Gulshan Abad Sector 2,Punjab,Gulshan Abad,Houses,1089.0
227,51976719,Rawalpindi,2.0,5.0,5.0,1.0,2.0,1.0,4.65, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,17083.0,Bahria Greens ,Punjab,Bahria Town Rawalpindi,Houses,544.4
232,51937505,Rawalpindi,2.0,5.0,5.0,1.0,2.0,0.0,4.3, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,15797.0,Bahria Town Phase 7,Punjab,Bahria Town Rawalpindi,Houses,544.4
233,51874928,Rawalpindi,3.0,5.0,6.0,1.0,2.0,1.0,3.6, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,13226.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,544.4
235,48609630,Rawalpindi,1.0,5.0,7.0,1.0,2.0,0.0,2.2, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1906.0,11542.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,381.2
236,52076503,Rawalpindi,1.0,3.0,4.0,1.0,1.0,1.0,1.95, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,14328.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,453.6666666666667
238,52091839,Rawalpindi,1.0,3.0,3.0,1.0,1.0,0.0,1.85, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,1361.0,13593.0,Bahria Town Phase 8 ,Punjab,Bahria Town Rawalpindi,Houses,453.6666666666667
244,48462130,Rawalpindi,1.0,4.0,4.0,0.0,2.0,0.0,1.5, For Sale,Punjab Government Servant Housing Foundation,Relatively New,1361.0,11021.0,Punjab Government Servant Housing Foundation (PGSHF),Punjab,Punjab Government Servant Housing Foundation,Houses,340.25
245,48638197,Rawalpindi,1.0,3.0,4.0,0.0,2.0,0.0,1.55, For Sale,"Adiala Road, Rawalpindi, Punjab, ",Relatively New,1634.0,9486.0,Snober City,Punjab,Adiala Road,Houses,544.6666666666666
246,51550999,Rawalpindi,2.0,5.0,6.0,1.0,2.0,1.0,6.25, For Sale,"Bahria Town Rawalpindi, Rawalpindi, Punjab, ",Relatively New,2722.0,22961.0,Bahria Town Phase 2,Punjab,Bahria Town Rawalpindi,Houses,544.4
