House Number,City,House Type,Parking Spaces,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Store Rooms,price,Purpose,Location,Age Possession,area,price_per_sqft,colony,province,society
52011802,Lahore,Lahore Houses,1.0,4.0,5.0,1.0,2.0,1.0,1.95, For Sale,"Park View City, Lahore, Punjab, ",Relatively New,1361.0,14327.7,Park View City ,Punjab,Park View City
48070719,Lahore,Lahore Houses,,4.0,5.0,1.0,0.0,0.0,2.55, For Sale,"Shadab Garden, Lahore, Punjab, ",New Property,2722.0,9368.11,Shadab Garden,Punjab,Shadab Garden
51730970,,,,3.0,3.0,1.0,1.0,1.0,2.29, For Sale,"Askari, Lahore, Punjab, ",Undefined,2722.0,8412.93,Askari 11 ,Punjab,Askari
51777781,,,,,,,,,0.26, For Sale,"Labor Colony, Lahore, Punjab, ",Undefined,817.0,3182.37,Labor Colony ,Punjab,Labor Colony
51984835,Lahore,Lahore Houses,3.0,5.0,6.0,2.0,2.0,2.0,5.5, For Sale,"Bahria Town, Lahore, Punjab, ",Relatively New,3267.0,16835.02,Bahria Town ,Punjab,Bahria Town
51406596,,,1.0,1.0,1.0,1.0,1.0,0.0,1.62, For Sale,"Gulberg, Lahore, Punjab, ",Relatively New,817.0,19828.64,Gulberg 3 ,Punjab,Gulberg
51619484,Lahore,Lahore Houses,2.0,4.0,5.0,1.0,2.0,1.0,4.25, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,2722.0,15613.52,DHA Phase 8 ,Punjab,DHA Defence
48361013,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,3.0,2.0,7.7, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,14141.41,DHA Phase 6,Punjab,DHA Defence
51946866,,,,1.0,1.0,1.0,1.0,2.0,0.65, For Sale,"Bahria Town, Lahore, Punjab, ",Relatively New,544.0,11948.53,Bahria Town ,Punjab,Bahria Town
50422729,Lahore,Lahore Houses,5.0,5.0,5.0,0.0,2.0,0.0,13.0, For Sale,"Bahria Town, Lahore, Punjab, ",Relatively New,10890.0,11937.56,Bahria Town ,Punjab,Bahria Town
52016922,Lahore,Lahore Houses,2.0,5.0,6.0,1.0,2.0,1.0,7.25, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,13314.97,DHA Phase 4,Punjab,DHA Defence
52016909,Lahore,Lahore Houses,2.0,5.0,6.0,1.0,2.0,1.0,7.9, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,14508.72,DHA Phase 3,Punjab,DHA Defence
52016635,Lahore,Lahore Houses,2.0,5.0,6.0,1.0,2.0,1.0,4.4, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,2722.0,16164.58,DHA Phase 8,Punjab,DHA Defence
52033690,Lahore,Lahore Houses,1.0,1.0,1.0,2.0,1.0,2.0,1.9, For Sale,"Park View City, Lahore, Punjab, ",Undefined,1361.0,13960.32,Park View City,Punjab,Park View City
50968067,,,,2.0,2.0,0.0,1.0,0.0,0.72, For Sale,"Defence Road, Lahore, Punjab, ",Relatively New,817.0,8812.73,Defence Road,Punjab,Defence Road
51132327,,,,2.0,2.0,1.0,1.0,1.0,0.72, For Sale,"Sukh Chayn Gardens, Lahore, Punjab, ",Relatively New,817.0,8812.73,Sukh Chayn Gardens,Punjab,Sukh Chayn Gardens
51510592,,,,2.0,2.0,0.0,1.0,0.0,0.72, For Sale,"Jubilee Town, Lahore, Punjab, ",Relatively New,817.0,8812.73,Palm Villas ,Punjab,Jubilee Town
52113584,Lahore,Lahore Houses,,4.0,5.0,1.0,1.0,1.0,2.0, For Sale,"Bahria Orchard, Lahore, Punjab, ",Under Construction,1634.0,12239.9,Bahria Orchard Phase 1 ,Punjab,Bahria Orchard
52113214,Lahore,Lahore Houses,1.0,3.0,4.0,1.0,2.0,1.0,2.1, For Sale,"DHA Defence, Lahore, Punjab, ",Under Construction,1361.0,15429.83,DHA 9 Town,Punjab,DHA Defence
45688509,Lahore,Lahore Houses,4.0,6.0,7.0,1.0,2.0,2.0,8.25, For Sale,"Valencia Housing Society, Lahore, Punjab, ",Relatively New,5445.0,15151.52,Valencia Housing Society,Punjab,Valencia Housing Society
51821847,Lahore,Lahore Houses,2.0,4.0,5.0,0.0,0.0,0.0,3.25, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,2722.0,11939.75,DHA Phase 7,Punjab,DHA Defence
52013863,Lahore,Lahore Houses,2.0,4.0,5.0,0.0,0.0,0.0,4.99, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,2722.0,18332.11,DHA Phase 6 ,Punjab,DHA Defence
51924924,,,,1.0,1.0,0.0,1.0,0.0,0.65, For Sale,"Bahria Town, Lahore, Punjab, ",New Property,599.0,10851.42,Bahria Town ,Punjab,Bahria Town
50725944,Lahore,Lahore Houses,2.0,6.0,7.0,1.0,2.0,2.0,4.6, For Sale,"Airline Housing Society, Lahore, Punjab, ",Relatively New,2722.0,16899.34,Airline Housing Society,Punjab,Airline Housing Society
51524395,Lahore,Lahore Houses,,6.0,7.0,1.0,2.0,1.0,3.15, For Sale,"GT Road, Lahore, Punjab, ",Relatively New,1906.0,16526.76,Bismillah Housing Scheme,Punjab,GT Road
51469306,Lahore,Lahore Houses,1.0,5.0,6.0,1.0,2.0,1.0,1.65, For Sale,"GT Road, Lahore, Punjab, ",Relatively New,1361.0,12123.44,Al Ahmad,Punjab,GT Road
52098314,Lahore,Lahore Houses,1.0,3.0,4.0,1.0,1.0,1.0,2.15, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,1361.0,15797.21,DHA 9 Town,Punjab,DHA Defence
52098357,Lahore,Lahore Houses,4.0,5.0,5.0,0.0,2.0,0.0,6.2, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,11386.59,DHA Phase 7,Punjab,DHA Defence
52098360,Lahore,Lahore Houses,1.0,3.0,4.0,1.0,1.0,1.0,1.95, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,1361.0,14327.7,DHA 9 Town,Punjab,DHA Defence
52099595,Lahore,Lahore Houses,4.0,5.0,6.0,1.0,3.0,1.0,7.98, For Sale,"DHA Defence, Lahore, Punjab, ",Moderately Old,5445.0,14655.65,DHA Phase 4,Punjab,DHA Defence
52100958,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,2.0,2.0,7.95, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,14600.55,DHA Phase 6,Punjab,DHA Defence
51889333,,,,2.0,2.0,0.0,1.0,0.0,0.78, For Sale,"Jubilee Town, Lahore, Punjab, ",Undefined,817.0,9547.12,Palm Villas ,Punjab,Jubilee Town
51889529,,,,2.0,2.0,0.0,1.0,1.0,0.78, For Sale,"Jubilee Town, Lahore, Punjab, ",Undefined,817.0,9547.12,Palm Villas ,Punjab,Jubilee Town
51991618,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,2.0,2.0,8.8, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,16161.62,DHA Phase 8,Punjab,DHA Defence
51997991,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,2.0,2.0,13.0, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,23875.11,DHA Phase 6,Punjab,DHA Defence
52014024,Lahore,Lahore Houses,1.0,3.0,4.0,0.0,2.0,2.0,3.2, For Sale,"DHA Defence, Lahore, Punjab, ",Under Construction,1361.0,23512.12,DHA 9 Town,Punjab,DHA Defence
52085414,Lahore,Lahore Houses,3.0,5.0,6.0,0.0,0.0,0.0,5.1, For Sale,"State Life Housing Society, Lahore, Punjab, ",Under Construction,3267.0,15610.65,State Life Housing Society,Punjab,State Life Housing Society
52085509,Lahore,Lahore Houses,2.0,,,,,,4.15, For Sale,"State Life Housing Society, Lahore, Punjab, ",Relatively New,2722.0,15246.14,State Life Housing Society,Punjab,State Life Housing Society
52112493,Lahore,Lahore Houses,3.0,5.0,6.0,2.0,2.0,1.0,6.1, For Sale,"Bahria Town, Lahore, Punjab, ",Relatively New,5445.0,11202.94,Bahria Town,Punjab,Bahria Town
51498633,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,3.0,0.0,6.95, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,12764.0,DHA Phase 7,Punjab,DHA Defence
51997235,,,,1.0,1.0,0.0,1.0,0.0,0.74,,"Bahria Town, Lahore, Punjab, ",Undefined,,,Bahria Town ,Punjab,Bahria Town
51457282,Lahore,Lahore Houses,,5.0,6.0,1.0,2.0,1.0,1.7, For Sale,"GT Road, Lahore, Punjab, ",Relatively New,1361.0,12490.82,Al Ahmad,Punjab,GT Road
51524436,Lahore,Lahore Houses,,5.0,6.0,1.0,2.0,1.0,4.5, For Sale,"GT Road, Lahore, Punjab, ",Relatively New,2722.0,16531.96,Bismillah Housing Scheme,Punjab,GT Road
52065403,Lahore,Lahore Houses,,5.0,6.0,1.0,2.0,1.0,1.65, For Sale,"GT Road, Lahore, Punjab, ",Relatively New,1361.0,12123.44,Al Ahmad,Punjab,GT Road
52065450,Lahore,Lahore Houses,,5.0,6.0,1.0,2.0,0.0,1.65, For Sale,"GT Road, Lahore, Punjab, ",Relatively New,1361.0,12123.44,Al Ahmad,Punjab,GT Road
52116628,Lahore,Lahore Houses,2.0,5.0,6.0,1.0,2.0,1.0,4.3, For Sale,"OPF Housing Scheme, Lahore, Punjab, ",Relatively New,2722.0,15797.21,OPF Housing Scheme,Punjab,OPF Housing Scheme
51737461,Lahore,Lahore Houses,2.0,3.0,4.0,1.0,1.0,1.0,1.89, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,1361.0,13886.85,DHA 9 Town,Punjab,DHA Defence
51736923,Lahore,Lahore Houses,2.0,3.0,4.0,1.0,1.0,1.0,1.85, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,1361.0,13592.95,DHA 9 Town,Punjab,DHA Defence
51921483,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,2.0,2.0,11.85, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,5445.0,21763.09,DHA Phase 6 ,Punjab,DHA Defence
51848520,Lahore,Lahore Houses,4.0,5.0,6.0,2.0,3.0,2.0,7.5, For Sale,"DHA Defence, Lahore, Punjab, ",Relatively New,6534.0,11478.42,DHA Phase 7 ,Punjab,DHA Defence
